task_id,description,category,priority,assignee,deadline_days,workload_score,cleaned_description,category_encoded,priority_encoded,priority_order,balanced_assignee
1,Fix critical login bug causing users to be locked out,Bug,High,Diana,7,1,fix critic login bug caus user lock,0,0,0,Alice
4,Deploy application to AWS production server,Deployment,High,Eve,12,2,deploy applic aw product server,1,0,0,Bob
8,Optimize slow database queries on user table,Optimization,High,Charlie,23,1,optim slow databas queri user tabl,10,0,0,Charlie
6,Investigate memory leak in background service,Bug,High,Bob,1,1,investig memori leak background servic,0,0,0,Diana
16,Resolve payment gateway timeout errors,Bug,High,Bob,27,5,resolv payment gateway timeout error,0,0,0,Eve
15,Add search functionality to dashboard,Feature,High,Diana,22,7,add search function dashboard,5,0,0,Alice
9,Implement two-factor authentication feature,Feature,High,Charlie,23,8,implement twofactor authent featur,5,0,0,Charlie
19,Update SSL certificates before expiry,DevOps,High,Alice,3,3,updat ssl certif expiri,3,0,0,Diana
26,Fix security vulnerability in file upload,Security,High,Charlie,26,8,fix secur vulner file upload,14,0,0,Bob
30,Implement role-based access control system,Feature,High,Diana,27,5,implement rolebas access control system,5,0,0,Diana
24,Migrate database from MySQL to PostgreSQL,Migration,High,Alice,1,4,migrat databas mysql postgresql,9,0,0,Eve
32,Fix crash in iOS app on startup,Bug,High,Diana,15,2,fix crash io app startup,0,0,0,Alice
43,Perform load testing on production server,Testing,High,Diana,4,3,perform load test product server,15,0,0,Charlie
46,Create backup and recovery procedure,DevOps,High,Alice,7,4,creat backup recoveri procedur,3,0,0,Diana
39,Integrate third-party payment processor,Integration,High,Alice,7,4,integr thirdparti payment processor,6,0,0,Eve
33,Build REST API for mobile application,Feature,High,Diana,15,6,build rest api mobil applic,5,0,0,Alice
49,Build recommendation engine for products,Feature,High,Bob,11,8,build recommend engin product,5,0,0,Bob
53,Investigate high CPU usage on server,Bug,High,Diana,7,1,investig high cpu usag server,0,0,0,Charlie
54,Create API rate limiting mechanism,Feature,High,Eve,27,9,creat api rate limit mechan,5,0,0,Charlie
48,Review security audit findings,Security,High,Eve,15,1,review secur audit find,14,0,0,Diana
64,Fix wrong calculations in billing module,Bug,High,Bob,28,1,fix wrong calcul bill modul,0,0,0,Eve
59,Fix email not sending in production,Bug,High,Diana,10,7,fix email send product,0,0,0,Diana
91,Fix incorrect user permissions on dashboard,Feature,High,Charlie,19,2,fix incorrect user permiss dashboard,5,0,0,Eve
89,Create sample data for demo environment,Feature,High,Diana,5,9,creat sampl data demo environ,5,0,0,Alice
82,Implement GDPR data deletion feature,Security,High,Alice,9,4,implement gdpr data delet featur,14,0,0,Eve
84,Build notification preferences settings,Feature,High,Eve,7,8,build notif prefer set,5,0,0,Bob
88,Fix slow report generation taking too long,Bug,High,Alice,9,3,fix slow report gener take long,0,0,0,Eve
86,Conduct performance review meetings,Management,High,Alice,8,3,conduct perform review meet,7,0,0,Diana
73,Investigate data inconsistency in reports,Bug,High,Eve,25,4,investig data inconsist report,0,0,0,Charlie
